"x","y","z","chr","coord"
-6.7404576465,-20.5519042104,7.13249568284,"15(pat)",20000000
-6.29738868911,-20.344595958,8.44442906877,"15(pat)",20100000
-5.01645470028,-20.9922473134,8.46322392645,"15(pat)",20200000
-3.76905374994,-20.1498248892,8.35250717479,"15(pat)",20300000
-3.7173173702,-19.7905689148,7.89902784867,"15(pat)",20400000
-5.33711945009,-19.6085472592,8.80384457338,"15(pat)",20500000
-6.66466980401,-19.2137367004,9.80866498168,"15(pat)",20600000
-7.11453974615,-19.0300763922,11.1158828679,"15(pat)",20700000
-6.60836686843,-19.3171185441,10.2280211405,"15(pat)",20800000
-5.61185992163,-19.9362112827,10.1440570933,"15(pat)",20900000
-6.04464413572,-20.6396448379,11.2099605189,"15(pat)",21000000
-7.15305349685,-20.8576098335,11.2602040226,"15(pat)",21100000
-7.37121890669,-20.7776963573,11.1948660427,"15(pat)",21200000
-8.67952151741,-20.631828754,10.8561128058,"15(pat)",21300000
-9.80388473572,-20.4713603752,10.4577555471,"15(pat)",21400000
-10.5298139447,-20.237508948,9.65583492767,"15(pat)",21500000
-10.5120294289,-19.4998052632,8.80221288792,"15(pat)",21600000
-9.86276910603,-18.7767455534,8.23224519172,"15(pat)",21700000
-8.84939947095,-18.222943796,8.26485832515,"15(pat)",21800000
-7.85164964244,-17.888174632,8.6798786539,"15(pat)",21900000
-6.38990313954,-18.2198178621,8.45604447635,"15(pat)",22000000
-5.67714484174,-18.3409638496,7.08530512513,"15(pat)",22100000
-4.91293914836,-18.80020662,6.67026641115,"15(pat)",22200000
-5.75528672875,-19.0292066676,6.88546184429,"15(pat)",22300000
-5.69882231758,-18.9407957048,8.56281690797,"15(pat)",22400000
-7.02159136426,-17.8400326855,7.2209097091,"15(pat)",22500000
-7.21988670092,-16.7951945213,7.6240195647,"15(pat)",22600000
-9.06482495055,-16.7569197767,11.2921174075,"15(pat)",22700000
-9.40819107271,-16.4849459334,12.7829406544,"15(pat)",22800000
-8.52920241183,-15.6323054778,13.5024381249,"15(pat)",22900000
-8.5246124044,-16.3056072318,13.1439422772,"15(pat)",23000000
-8.96508269843,-17.1190745345,13.9427277512,"15(pat)",23100000
-8.07457082504,-17.2675724598,12.8631856047,"15(pat)",23200000
-4.87795179103,-14.8531475163,11.6501223538,"15(pat)",23300000
-3.4633366078,-14.664005903,12.4205941843,"15(pat)",23400000
-3.38800438646,-14.3525376777,12.4490087292,"15(pat)",23500000
-4.57765270638,-14.3527015361,11.7749411453,"15(pat)",23600000
-4.95846743124,-15.5375916878,12.5622706052,"15(pat)",23700000
-6.85024488491,-14.0559790843,14.5182128047,"15(pat)",23800000
-7.31287139569,-13.7651577619,15.9703658676,"15(pat)",23900000
-7.34138947842,-14.8681962085,15.367558039,"15(pat)",24000000
-7.9410148333,-13.7465994114,14.9879482109,"15(pat)",24100000
-7.50438176327,-12.3441794158,14.8519355604,"15(pat)",24200000
-7.65586028747,-11.8452528096,15.24859537,"15(pat)",24300000
-7.62040121916,-11.2313279105,15.802783918,"15(pat)",24400000
-8.2159940842,-12.3436569914,16.4572724193,"15(pat)",24500000
-8.42658720375,-12.8039208342,16.3783978402,"15(pat)",24600000
-10.5337703051,-12.9284376696,16.0620175347,"15(pat)",24700000
-10.7591911349,-12.9794812037,16.3430301497,"15(pat)",24800000
-10.9057163937,-12.8438812693,16.3638153585,"15(pat)",24900000
-9.08344914095,-12.1301795927,16.863872511,"15(pat)",25000000
-9.48058878006,-11.5504975689,16.4634717552,"15(pat)",25100000
-9.86226745355,-12.22141572,15.6180997274,"15(pat)",25200000
-10.7806210292,-12.0568292349,14.4280293116,"15(pat)",25300000
-10.2441792652,-12.2940129541,13.2888593336,"15(pat)",25400000
-10.6939538647,-12.8452235542,14.4008940062,"15(pat)",25500000
-10.0205934364,-13.5911062268,14.7975079367,"15(pat)",25600000
-10.6335134197,-11.7613006632,15.0296131451,"15(pat)",25700000
-10.6322795741,-10.9429778183,14.1815534787,"15(pat)",25800000
-11.2716014927,-10.8947861649,13.2304582444,"15(pat)",25900000
-11.0683370908,-12.013241921,12.7657292278,"15(pat)",26000000
-10.5957494201,-13.0030114851,13.4723195495,"15(pat)",26100000
-10.6829601852,-13.772544772,13.5705252528,"15(pat)",26200000
-9.07368493102,-12.7778389892,14.9812902769,"15(pat)",26300000
-8.67783025263,-11.5556660555,15.4692395642,"15(pat)",26400000
-8.75686207983,-12.7806871817,15.3894812242,"15(pat)",26500000
-9.18773053499,-12.8254486843,14.2392852345,"15(pat)",26600000
-8.89542158374,-12.6371478886,14.3234883393,"15(pat)",26700000
-7.52576352469,-12.6956609341,15.0059054418,"15(pat)",26800000
-7.38517468816,-13.5908944201,14.4288995629,"15(pat)",26900000
-6.20901309082,-13.0162421252,14.9888271353,"15(pat)",27000000
-6.79652036518,-11.9103958566,13.7369822758,"15(pat)",27100000
-7.71653819397,-12.8658077736,13.300944419,"15(pat)",27200000
-6.7752572815,-13.1857750772,13.266351211,"15(pat)",27300000
-5.53787348609,-12.3649009827,13.2297193034,"15(pat)",27400000
-5.87410455152,-13.7730159385,13.0119049279,"15(pat)",27500000
-5.79785623744,-12.9574997717,13.3551097119,"15(pat)",27600000
-6.77035495462,-11.8570184655,14.420276749,"15(pat)",27700000
-7.45877864155,-12.2801206559,13.7807985649,"15(pat)",27800000
-7.77247748491,-13.0557971473,12.9179561482,"15(pat)",27900000
-7.92291679583,-13.1232460623,11.506529578,"15(pat)",28000000
-7.26158884348,-13.0518039553,10.393175248,"15(pat)",28100000
-6.22506605269,-11.7152522512,10.036086306,"15(pat)",28200000
-3.79871725023,-10.6370915882,8.4116141933,"15(pat)",28300000
-2.17723871214,-9.43151977337,7.94571403919,"15(pat)",28400000
-2.13270296326,-8.4386884887,7.59129898749,"15(pat)",28500000
-1.76057131319,-8.04296574094,6.59394540329,"15(pat)",28600000
-1.48659479431,-8.03851478357,5.76256155407,"15(pat)",28700000
-1.02973250099,-8.86466949894,5.17318480619,"15(pat)",28800000
-0.446686932745,-8.78685149466,3.90054424193,"15(pat)",28900000
0.283532280352,-9.18804213645,2.69413219744,"15(pat)",29000000
-0.911755822538,-8.87626599921,2.20014612003,"15(pat)",29100000
-0.904972312821,-8.33428481058,1.15549535493,"15(pat)",29200000
-0.931843477367,-6.85454518513,1.21616346806,"15(pat)",29300000
-0.676238504326,-7.46652633078,1.42451839708,"15(pat)",29400000
-1.68959720045,-7.42360438989,0.949684530336,"15(pat)",29500000
-0.53666027667,-6.92379604866,1.09449479247,"15(pat)",29600000
-1.79475435069,-6.26683298932,1.25189642984,"15(pat)",29700000
-2.42056827286,-6.17134633509,0.18915856835,"15(pat)",29800000
-1.25221454016,-7.29235487124,0.0625387939715,"15(pat)",29900000
-2.17720893282,-8.58440798302,0.0590888383309,"15(pat)",30000000
-3.00400577148,-9.86075963128,-0.994909082236,"15(pat)",30100000
-2.98206302332,-9.95057428802,-1.11353739552,"15(pat)",30200000
-1.69954204992,-10.2482378232,-1.08354578072,"15(pat)",30300000
-1.67240134525,-9.73360407008,-0.628184452516,"15(pat)",30400000
-2.43067372257,-10.1403793871,0.644158683674,"15(pat)",30500000
-2.97033740759,-9.75742561121,1.46046180562,"15(pat)",30600000
-2.743061793,-8.70038224121,1.81010645828,"15(pat)",30700000
-2.37782154864,-7.7702016655,2.34361544259,"15(pat)",30800000
-1.52253150733,-6.94967371408,2.93487521747,"15(pat)",30900000
-0.497143157684,-6.19371147467,3.44031425003,"15(pat)",31000000
-0.146558857216,-5.45711866955,4.30615849963,"15(pat)",31100000
-0.606669979827,-4.55393464721,4.72564419068,"15(pat)",31200000
-1.41318017652,-4.28626278711,3.92894320454,"15(pat)",31300000
-2.04199746696,-5.43476300757,4.28283940751,"15(pat)",31400000
-1.41267027735,-5.23509829154,2.90958151876,"15(pat)",31500000
-1.4565693183,-5.13845003504,2.29117609995,"15(pat)",31600000
-1.36426736434,-4.43315587715,1.44962361883,"15(pat)",31700000
-1.1004457692,-3.87165950915,2.23736057632,"15(pat)",31800000
1.55348769044,-2.21125447013,0.165960393759,"15(pat)",31900000
2.25906052698,-0.659761328778,-1.95923702667,"15(pat)",32000000
2.20197431809,-1.36711955937,-2.77812528829,"15(pat)",32100000
1.61819364968,-4.12335990271,-2.16860674363,"15(pat)",32200000
1.40132608494,-3.58593923724,-1.85652855356,"15(pat)",32300000
0.477506306903,-2.74841529646,-1.43172191815,"15(pat)",32400000
0.0248121725518,-1.10544570735,0.227250597331,"15(pat)",32500000
0.279388855619,-0.303003276505,0.486170130926,"15(pat)",32600000
0.75672835492,0.699613842415,0.680480760033,"15(pat)",32700000
1.71012032073,0.376813121226,0.851855022225,"15(pat)",32800000
2.04029620073,-0.649011419177,0.936270754908,"15(pat)",32900000
2.98336553787,-1.26528540673,0.57312910513,"15(pat)",33000000
3.52148269823,-0.69592540514,1.5529072827,"15(pat)",33100000
3.68524359919,0.297144876867,0.964613464068,"15(pat)",33200000
3.35130108951,0.127388419371,0.116822237407,"15(pat)",33300000
3.39267155431,-0.897886291312,-0.454904656237,"15(pat)",33400000
3.57539085276,-0.970367587616,-0.790969385425,"15(pat)",33500000
3.60765623688,-1.66548413517,-1.18989666301,"15(pat)",33600000
3.31188824332,-2.18555634638,-1.43673523625,"15(pat)",33700000
2.87074161407,-2.91457503675,-2.43934858597,"15(pat)",33800000
3.73510240951,-3.39317665507,-1.79370972613,"15(pat)",33900000
3.60079439139,-3.62395756481,-1.47214215308,"15(pat)",34000000
2.54608227543,-3.72964626732,-0.58133135775,"15(pat)",34100000
1.67204279593,-3.30297819702,0.00472850660938,"15(pat)",34200000
2.58234742232,-3.6644863459,1.25653697644,"15(pat)",34300000
3.52480311809,-3.66308221504,2.04483726955,"15(pat)",34400000
3.94156415909,-3.61661095045,1.97134808312,"15(pat)",34500000
4.29512863079,-2.44750336051,2.1663238126,"15(pat)",34600000
3.49465789228,-1.98357319951,2.81063808814,"15(pat)",34700000
2.64859770193,-2.34803446613,2.13507901829,"15(pat)",34800000
2.2174090157,-3.46437025797,1.6409158983,"15(pat)",34900000
1.6775916076,-4.54570823034,0.983325003638,"15(pat)",35000000
1.67151830205,-5.24943630362,0.151275537068,"15(pat)",35100000
3.08351519434,-5.46206759576,0.335429992418,"15(pat)",35200000
4.14608785633,-5.1923512869,-0.225814997668,"15(pat)",35300000
2.18616904153,-2.18357385928,-1.23605948255,"15(pat)",35400000
-1.51962737294,-1.95656938546,-3.03606069706,"15(pat)",35500000
-0.523963302085,-2.36481661466,-2.80750074614,"15(pat)",35600000
0.573562184364,-2.98352365518,-3.11221656066,"15(pat)",35700000
-0.380112441784,-3.03390420199,-2.5179909236,"15(pat)",35800000
-0.309484343688,-1.50834233177,-2.74144426057,"15(pat)",35900000
-1.25471828776,-0.509099836404,-2.49776061685,"15(pat)",36000000
-0.128595865712,-0.558525047488,-3.26683912313,"15(pat)",36100000
0.182111519052,0.25754517376,-3.38684586715,"15(pat)",36200000
1.21797544501,0.00285614006945,-4.16683980426,"15(pat)",36300000
1.1005244569,-1.02631907817,-3.70016419728,"15(pat)",36400000
-0.366535377272,-0.75292046899,-4.20576100141,"15(pat)",36500000
-0.428235208028,-0.284396497951,-4.47925654013,"15(pat)",36600000
0.843247431904,-0.00975341449074,-2.55941950106,"15(pat)",36700000
1.03019524921,-0.38379432374,-2.34803776554,"15(pat)",36800000
1.14659898932,-1.18195270812,-1.9024053667,"15(pat)",36900000
1.60158938461,-0.671073088607,-0.774985077279,"15(pat)",37000000
0.782016715574,-1.01745733909,-1.23956482732,"15(pat)",37100000
0.11933634833,0.113018498975,-1.37709921731,"15(pat)",37200000
-0.00242318211587,0.554365176706,-1.26399074076,"15(pat)",37300000
-0.0915603062506,0.227967083491,-1.06749501287,"15(pat)",37400000
-1.21784501895,0.146732220994,-2.58117103523,"15(pat)",37500000
-0.930753654019,-0.878875775734,-4.40814132595,"15(pat)",37600000
0.0512874848489,-1.60203723072,-4.44258474191,"15(pat)",37700000
0.509696861275,-1.59088494016,-3.34736062912,"15(pat)",37800000
1.10609277674,-2.43593538923,-3.4220440431,"15(pat)",37900000
1.50093775754,-3.71769495661,-3.6397761663,"15(pat)",38000000
1.70151394466,-5.34191919298,-4.27044201761,"15(pat)",38100000
1.28523263153,-5.63115603001,-4.54892756816,"15(pat)",38200000
-2.75059316975,-5.03410236683,-6.59148129488,"15(pat)",38300000
-5.46448928307,-5.28263372696,-6.57193308615,"15(pat)",38400000
-6.79311515136,-5.84586272198,-6.57823216577,"15(pat)",38500000
-7.33576181996,-5.18786640805,-7.5321093698,"15(pat)",38600000
-6.31296770569,-4.90242950556,-8.26976765062,"15(pat)",38700000
-5.93391779236,-5.72035505601,-7.61912131787,"15(pat)",38800000
-6.14064187431,-5.14185424855,-8.78881159812,"15(pat)",38900000
-6.14628314252,-4.8024515746,-8.45224405466,"15(pat)",39000000
-5.6645828005,-3.41037237767,-5.74784718338,"15(pat)",39100000
-4.57366522233,-4.33491004121,-6.61016890927,"15(pat)",39200000
-3.66079329117,-3.97265463031,-7.62153960302,"15(pat)",39300000
-3.82210358426,-3.52421618619,-8.0295516244,"15(pat)",39400000
-4.23345668907,-2.18103330275,-8.10682526033,"15(pat)",39500000
-5.23359812446,-1.69797792365,-7.4775836837,"15(pat)",39600000
-4.59428424476,-0.42610041621,-7.65117523881,"15(pat)",39700000
-4.7400224388,1.36392854317,-7.01938550823,"15(pat)",39800000
-4.56394276761,3.23627686949,-6.472126651,"15(pat)",39900000
-5.15100468887,5.09935934185,-7.7740781729,"15(pat)",40000000
-7.11009342018,5.66596506632,-8.28746131293,"15(pat)",40100000
-7.94366545048,5.3389829636,-7.26125618648,"15(pat)",40200000
-7.43991320422,4.67627836536,-6.66335725071,"15(pat)",40300000
-7.99985563526,4.90363556493,-6.70442977368,"15(pat)",40400000
-7.38740064369,5.68117349159,-5.90030876183,"15(pat)",40500000
-6.46991422426,6.31703586281,-5.81921639662,"15(pat)",40600000
-7.49279275864,6.21945356644,-5.36745664904,"15(pat)",40700000
-6.72963965501,5.46143695062,-4.46166522406,"15(pat)",40800000
