"x","y","z","chr","coord","densityVals"
1.341,11.16,-6.518,"chr a",3000000,0.29411764705882354
0.868,10.458,-7.039,"chr a",3100000,0.20588235294117646
1.623,9.607,-7.2,"chr a",3200000,0.35294117647058826
2.556,9.946,-7.725,"chr a",3300000,0.14705882352941177
3.074,10.701,-7.133,"chr a",3400000,0.20588235294117646
2.66,10.874,-6.118,"chr a",3500000,0.2647058823529412
2.351,10.116,-5.328,"chr a",3600000,0.29411764705882354
1.919,9.104,-5.804,"chr a",3700000,0.2647058823529412
1.07,9.714,-5.98,"chr a",3800000,0.3235294117647059
0.22,10.174,-5.684,"chr a",3900000,0.20588235294117646
0.567,10.715,-4.794,"chr a",4000000,0.3235294117647059
1.618,11.012,-4.608,"chr a",4100000,0.29411764705882354
1.914,11.673,-3.722,"chr a",4200000,0.20588235294117646
2.473,11.627,-2.716,"chr a",4300000,0.23529411764705882
2.43,11.907,-1.766,"chr a",4400000,0.14705882352941177
2.922,12.234,-0.88,"chr a",4500000,0.14705882352941177
4.005,11.899,-1.085,"chr a",4600000,0.23529411764705882
3.791,11.452,-2.047,"chr a",4700000,0.3235294117647059
4.933,11.652,-1.806,"chr a",4800000,0.20588235294117646
5.066,12.605,-2.472,"chr a",4900000,0.23529411764705882
4.377,12.156,-3.136,"chr a",5000000,0.23529411764705882
3.941,11.781,-3.929,"chr a",5100000,0.29411764705882354
3.524,10.914,-4.188,"chr a",5200000,0.35294117647058826
3.447,10.074,-3.629,"chr a",5300000,0.29411764705882354
4.414,9.854,-3.052,"chr a",5400000,0.3235294117647059
3.579,9.008,-2.809,"chr a",5500000,0.47058823529411764
3.313,8.772,-3.769,"chr a",5600000,0.35294117647058826
2.2,8.76,-3.904,"chr a",5700000,0.3235294117647059
2.174,8.763,-3.097,"chr a",5800000,0.29411764705882354
1.993,9.82,-3.296,"chr a",5900000,0.38235294117647056
1.082,9.36,-3.117,"chr a",6000000,0.23529411764705882
0.81,8.883,-2.114,"chr a",6100000,0.3235294117647059
1.454,9.788,-1.51,"chr a",6200000,0.29411764705882354
1.111,9.583,-0.542,"chr a",6300000,0.29411764705882354
0.045,9.173,-0.589,"chr a",6400000,0.35294117647058826
-0.517,9.481,0.287,"chr a",6500000,0.17647058823529413
-0.239,8.711,1.083,"chr a",6600000,0.23529411764705882
-0.479,7.777,0.741,"chr a",6700000,0.2647058823529412
0.622,7.738,0.586,"chr a",6800000,0.5
