"x","y","z","chr","coord"
9.938,-6.486,-1.413,"chr a",3000000
9.186,-7.26,-0.924,"chr a",3100000
8.522,-7.236,-0.53,"chr a",3200000
7.598,-6.794,-1.174,"chr a",3300000
6.961,-6.321,-0.707,"chr a",3400000
7.303,-5.744,0.358,"chr a",3500000
7.471,-5.079,-0.57,"chr a",3600000
7.653,-4.782,-1.28,"chr a",3700000
8.339,-5.284,-1.892,"chr a",3800000
9.051,-6.114,-2.713,"chr a",3900000
8.203,-6.855,-2.195,"chr a",4000000
7.377,-7.196,-1.61,"chr a",4100000
7.98,-7.995,-0.746,"chr a",4200000
8.197,-8.943,-0.472,"chr a",4300000
8.424,-9.302,0.485,"chr a",4400000
9.586,-10.127,2.636,"chr a",4500000
9.884,-10.486,2.403,"chr a",4600000
10.293,-11.251,1.837,"chr a",4700000
10.687,-11.387,0.676,"chr a",4800000
10.983,-11.22,1.775,"chr a",4900000
11.049,-10.995,0.64,"chr a",5000000
11.413,-12.199,-0.758,"chr a",5100000
11.864,-12.762,-1.528,"chr a",5200000
11.897,-12.997,-2.533,"chr a",5300000
12.463,-13.614,-2.119,"chr a",5400000
11.928,-14.52,-1.73,"chr a",5500000
11.007,-14.226,-1.695,"chr a",5600000
10.754,-13.09,-1.663,"chr a",5700000
10.027,-12.853,-0.784,"chr a",5800000
8.913,-11.744,2.433,"chr a",5900000
9.008,-11.113,3.583,"chr a",6000000
8.524,-10.368,3.586,"chr a",6100000
7.198,-8.274,4.907,"chr a",6200000
6.649,-8.352,5.09,"chr a",6300000
5.861,-7.973,4.208,"chr a",6400000
5.049,-8.376,3.763,"chr a",6500000
4.806,-9.374,4.092,"chr a",6600000
5.43,-10.399,4.262,"chr a",6700000
6.047,-10.423,3.232,"chr a",6800000
5.428,-8.799,4.824,"chr a",6900000
5.383,-7.661,6.185,"chr a",7000000
5.381,-7.831,6.237,"chr a",7100000
6.33,-7.108,6.249,"chr a",7200000
6.018,-6.482,5.35,"chr a",7300000
6.665,-5.567,5.281,"chr a",7400000
6.482,-5.371,4.647,"chr a",7500000
6.167,-6.063,3.935,"chr a",7600000
5.155,-6.957,4.321,"chr a",7700000
4.236,-7.362,3.928,"chr a",7800000
3.615,-7.799,4.568,"chr a",7900000
2.931,-8.098,4.912,"chr a",8000000
2.492,-6.78,4.677,"chr a",8100000
2.554,-6.529,4.468,"chr a",8200000
3.581,-5.813,3.805,"chr a",8300000
4.505,-5.624,4.606,"chr a",8400000
4.187,-6.448,5.315,"chr a",8500000
3.788,-6.77,6.265,"chr a",8600000
3.929,-6.859,5.765,"chr a",8700000
4.686,-5.929,6.239,"chr a",8800000
5.282,-5.725,6.354,"chr a",8900000
4.889,-4.903,5.771,"chr a",9000000
3.897,-4.964,5.322,"chr a",9100000
2.745,-5.359,5.252,"chr a",9200000
2.215,-5.424,6.256,"chr a",9300000
3.148,-6.021,6.876,"chr a",9400000
4.368,-7.576,7.451,"chr a",9500000
3.733,-7.132,7.518,"chr a",9600000
4.393,-8.192,7.936,"chr a",9700000
4.536,-8.243,8.736,"chr a",9800000
3.887,-8.181,9.693,"chr a",9900000
4.546,-9.273,9.373,"chr a",10000000
3.967,-9.614,8.301,"chr a",10100000
4.334,-9.653,7.075,"chr a",10200000
4.506,-10.018,5.885,"chr a",10300000
4.691,-10.431,5.6,"chr a",10400000
4.117,-10.479,5.71,"chr a",10500000
3.976,-11.033,5.778,"chr a",10600000
4.338,-11.986,6.62,"chr a",10700000
5.194,-12.287,7.623,"chr a",10800000
5.606,-12.363,7.235,"chr a",10900000
4.782,-13.367,7.053,"chr a",11000000
5.087,-13.888,7.135,"chr a",11100000
4.601,-13.593,8.017,"chr a",11200000
3.777,-12.652,7.769,"chr a",11300000
3.788,-13.018,7.829,"chr a",11400000
3.542,-13.328,6.63,"chr a",11500000
3.565,-13.278,5.487,"chr a",11600000
3.671,-12.096,4.644,"chr a",11700000
4.232,-11.848,4.091,"chr a",11800000
3.609,-11.89,4.444,"chr a",11900000
2.825,-11.672,5.093,"chr a",12000000
2.638,-10.486,5.447,"chr a",12100000
2.476,-11.516,4.836,"chr a",12200000
1.949,-11.872,3.921,"chr a",12300000
2.228,-12.927,4.59,"chr a",12400000
1.673,-13.397,5.37,"chr a",12500000
1.692,-13.233,5.385,"chr a",12600000
4.071,-13.51,5.066,"chr a",12700000
5.152,-12.842,4.796,"chr a",12800000
5.168,-12.531,5.816,"chr a",12900000
5.446,-12.136,6.901,"chr a",13000000
4.371,-11.538,7.02,"chr a",13100000
4.735,-12.794,6.048,"chr a",13200000
5.138,-13.903,5.184,"chr a",13300000
6.014,-14.243,4.4,"chr a",13400000
