"x","y","z","chr","coord"
20.713,-14.117,-5.7,"chr f",3000000
20.536,-13.494,-4.919,"chr f",3100000
20.381,-13.234,-3.995,"chr f",3200000
19.55,-13.754,-3.969,"chr f",3300000
18.399,-13.621,-3.998,"chr f",3400000
18.431,-14.423,-4.812,"chr f",3500000
19.112,-15.115,-4.435,"chr f",3600000
18.579,-15.369,-5.275,"chr f",3700000
17.809,-15.886,-4.364,"chr f",3800000
18.124,-16.388,-4.726,"chr f",3900000
17.675,-16.75,-5.713,"chr f",4000000
16.968,-15.607,-5.221,"chr f",4100000
16.619,-14.689,-4.819,"chr f",4200000
17.324,-14.668,-3.89,"chr f",4300000
18.574,-15.32,-3.326,"chr f",4400000
19.503,-15.752,-3.837,"chr f",4500000
19.439,-16.751,-4.312,"chr f",4600000
18.857,-17.064,-3.335,"chr f",4700000
18.886,-17.457,-3.533,"chr f",4800000
19.516,-17.217,-3.515,"chr f",4900000
19.974,-17.395,-4.51,"chr f",5000000
20.715,-17.396,-5.42,"chr f",5100000
20.68,-17.578,-4.483,"chr f",5200000
20.129,-18.496,-4.157,"chr f",5300000
19.166,-18.618,-4.974,"chr f",5400000
18.934,-17.752,-5.408,"chr f",5500000
16.513,-17.427,-4.452,"chr f",5600000
15.529,-17.717,-3.779,"chr f",5700000
14.582,-16.896,-3.185,"chr f",5800000
14.595,-16.567,-2.539,"chr f",5900000
15.372,-16.82,-2.52,"chr f",6000000
15.589,-15.862,-3.345,"chr f",6100000
15.687,-15.945,-3.88,"chr f",6200000
14.591,-16.319,-4.062,"chr f",6300000
14.879,-16.34,-4.514,"chr f",6400000
13.983,-15.962,-4.297,"chr f",6500000
13.423,-16.825,-3.714,"chr f",6600000
14.144,-17.523,-3.248,"chr f",6700000
14.304,-18.21,-3.134,"chr f",6800000
13.644,-18.688,-3.746,"chr f",6900000
12.909,-18.505,-3.501,"chr f",7000000
13.032,-17.458,-4.016,"chr f",7100000
13.17,-17.172,-4.978,"chr f",7200000
13.39,-17.62,-5.198,"chr f",7300000
13.408,-17.207,-5.522,"chr f",7400000
14.094,-17.736,-4.851,"chr f",7500000
14.391,-18.899,-4.343,"chr f",7600000
13.278,-18.919,-3.954,"chr f",7700000
13.335,-19.099,-5.869,"chr f",7800000
12.478,-19.253,-6.586,"chr f",7900000
12.042,-19.862,-6.074,"chr f",8000000
12.212,-19.059,-4.919,"chr f",8100000
11.84,-18.033,-4.047,"chr f",8200000
11.384,-17.722,-4.639,"chr f",8300000
12.108,-18.558,-4.83,"chr f",8400000
13.341,-19.071,-5.395,"chr f",8500000
13.477,-18.975,-5.173,"chr f",8600000
14.477,-18.76,-4.995,"chr f",8700000
14.924,-19.304,-3.862,"chr f",8800000
16.028,-19.585,-2.131,"chr f",8900000
15.899,-19.546,-2.687,"chr f",9000000
16.078,-19.945,-3.049,"chr f",9100000
15.464,-19.588,-1.822,"chr f",9200000
15.952,-18.751,-1.272,"chr f",9300000
16.253,-18.402,-0.356,"chr f",9400000
16.634,-18.742,-0.861,"chr f",9500000
16.183,-18.38,-0.801,"chr f",9600000
15.442,-19.26,0.055,"chr f",9700000
16.087,-19.38,0.54,"chr f",9800000
16.523,-19.995,-0.221,"chr f",9900000
16.03,-19.846,-0.274,"chr f",0
15.457,-20.744,-0.821,"chr f",100000
15.637,-21.766,-0.178,"chr f",200000
15.399,-22.043,-0.829,"chr f",300000
15.836,-21.136,-1.634,"chr f",400000
16.555,-21.113,-1.932,"chr f",500000
16.223,-21.634,-2.037,"chr f",600000
15.832,-22.72,-1.988,"chr f",700000
16.372,-22.33,-2.791,"chr f",800000
16.981,-21.226,-3.146,"chr f",900000
17.608,-20.42,-3.051,"chr f",1000000
17.122,-20.163,-2.133,"chr f",1100000
17.541,-19.215,-1.651,"chr f",1200000
18.076,-18.357,-0.878,"chr f",1300000
17.694,-18.627,-1.187,"chr f",1400000
17.319,-18.38,-2.215,"chr f",1500000
16.268,-17.668,-2.523,"chr f",1600000
15.464,-17.974,-1.973,"chr f",1700000
14.796,-18.379,-1.556,"chr f",1800000
14.239,-18.065,-0.906,"chr f",1900000
13.844,-18.779,-1.139,"chr f",2000000
13.464,-19.493,-1.737,"chr f",2100000
14.686,-19.696,-2.376,"chr f",2200000
14.388,-20.333,-1.459,"chr f",2300000
13.956,-20.88,-1.457,"chr f",2400000
14.823,-21.582,-2.014,"chr f",2500000
14.734,-22.587,-2.533,"chr f",2600000
14.232,-22.384,-2.679,"chr f",2700000
14.765,-21.329,-2.732,"chr f",2800000
13.653,-21.31,-2.708,"chr f",2900000
14.113,-21.735,-3.799,"chr f",3000000
14.463,-20.723,-5.129,"chr f",3100000
13.958,-20.586,-6.071,"chr f",3200000
14.562,-20.03,-6.879,"chr f",3300000
15.279,-21.183,-6.891,"chr f",3400000
14.292,-21.561,-6.736,"chr f",3500000
14.013,-20.981,-7.109,"chr f",3600000
14.568,-20.346,-7.186,"chr f",3700000
14.622,-20.22,-8.316,"chr f",3800000
14.972,-20.696,-9.16,"chr f",3900000
15.804,-21.047,-7.878,"chr f",4000000
15.11,-21.711,-7.571,"chr f",4100000
15.681,-22.148,-8.045,"chr f",4200000
16.061,-21.922,-9.143,"chr f",4300000
15.582,-20.704,-9.174,"chr f",4400000
15.607,-19.727,-8.405,"chr f",4500000
16.473,-19.548,-9.119,"chr f",4600000
15.846,-19.456,-10.194,"chr f",4700000
15.978,-19.278,-9.53,"chr f",4800000
16.051,-18.404,-8.819,"chr f",4900000
15.666,-17.996,-8.874,"chr f",5000000
13.909,-17.326,-8.449,"chr f",5100000
13.056,-16.689,-7.79,"chr f",5200000
12.773,-16.668,-7.324,"chr f",5300000
13.26,-17.78,-7.421,"chr f",5400000
13.934,-17.719,-8.194,"chr f",5500000
14.406,-18.461,-7.678,"chr f",5600000
14.376,-18.401,-6.913,"chr f",5700000
15.113,-17.471,-7.503,"chr f",5800000
15.075,-16.43,-8.082,"chr f",5900000
14.578,-16.706,-8.433,"chr f",6000000
14.835,-16.442,-9.509,"chr f",6100000
14.984,-16.658,-9.996,"chr f",6200000
14.152,-17.336,-9.321,"chr f",6300000
13.008,-16.983,-9.346,"chr f",6400000
12.992,-15.854,-9.35,"chr f",6500000
14.07,-15.907,-9.76,"chr f",6600000
13.915,-16.651,-10.504,"chr f",6700000
12.827,-17.327,-10.561,"chr f",6800000
13.48,-17.599,-10.311,"chr f",6900000
13.467,-18.775,-10.324,"chr f",7000000
13.5,-19.8,-10.917,"chr f",7100000
13.568,-19.746,-11.77,"chr f",7200000
13.395,-19.815,-10.733,"chr f",7300000
12.897,-18.823,-9.742,"chr f",7400000
13.087,-19.158,-8.731,"chr f",7500000
12.589,-19.659,-7.978,"chr f",7600000
13.181,-19.259,-8.826,"chr f",7700000
14.146,-19.071,-9.286,"chr f",7800000
14.255,-18.964,-9.427,"chr f",7900000
14.305,-18.435,-10.522,"chr f",8000000
14.316,-17.82,-11.422,"chr f",8100000
14.558,-18.883,-11.485,"chr f",8200000
14.719,-20.031,-10.849,"chr f",8300000
15.381,-20.779,-10.555,"chr f",8400000
15.412,-20.053,-10.422,"chr f",8500000
15.165,-17.53,-10.417,"chr f",8600000
16.081,-17.935,-10.725,"chr f",8700000
17.324,-18.271,-10.341,"chr f",8800000
17.551,-18.961,-11.059,"chr f",8900000
16.857,-19.807,-11.028,"chr f",9000000
16.881,-20.694,-10.493,"chr f",9100000
17.823,-20.467,-9.648,"chr f",9200000
18.215,-19.485,-9.997,"chr f",9300000
18.25,-18.818,-9.248,"chr f",9400000
18.297,-19.721,-8.376,"chr f",9500000
18.05,-20.608,-7.413,"chr f",9600000
17.672,-21.163,-8.326,"chr f",9700000
16.764,-20.621,-7.763,"chr f",9800000
16.487,-20.358,-7.502,"chr f",9900000
16.907,-19.785,-6.548,"chr f",0
16.184,-19.079,-7.022,"chr f",100000
16.978,-18.547,-7.755,"chr f",200000
17.586,-18.826,-7.508,"chr f",300000
17.789,-19.696,-6.562,"chr f",400000
18.118,-20.009,-5.889,"chr f",500000
18.654,-19.419,-6.45,"chr f",600000
19.336,-20.074,-5.724,"chr f",700000
19.85,-19.233,-6.037,"chr f",800000
19.997,-18.103,-6.112,"chr f",900000
20.348,-19.085,-5.813,"chr f",1000000
20.627,-19.939,-5.191,"chr f",1100000
20.314,-19.892,-4.167,"chr f",1200000
19.492,-19.151,-3.761,"chr f",1300000
19.337,-20.152,-3.547,"chr f",1400000
19.062,-20.645,-4.495,"chr f",1500000
17.916,-21.028,-4.171,"chr f",1600000
17.357,-19.928,-3.401,"chr f",1700000
17.841,-18.73,-2.793,"chr f",1800000
18.85,-18.478,-2.721,"chr f",1900000
19.551,-18.104,-1.954,"chr f",2000000
18.822,-17.796,-2.072,"chr f",2100000
17.635,-17.646,-2.147,"chr f",2200000
17.056,-16.672,-3.128,"chr f",2300000
17.103,-15.785,-2.485,"chr f",2400000
17.674,-15.417,-2.303,"chr f",2500000
17.018,-15.943,-2.354,"chr f",2600000
