"x","y","z","chr","coord"
77.365,61.609,15.448,"A",1
78.322,61.414,15.663,"A",2
79.279,61.218,15.878,"A",3
80.236,61.023,16.093,"A",4
76.408,61.804,15.232,"A",5
80.762,60.916,16.212,"A",6
81.192,60.836,16.314,"A",7
81.61,60.777,16.425,"A",8
82.018,60.736,16.544,"A",9
82.414,60.715,16.673,"A",10
82.798,60.713,16.81,"A",11
83.172,60.731,16.955,"A",12
83.534,60.768,17.109,"A",13
83.886,60.824,17.272,"A",14
84.225,60.9,17.444,"A",15
84.554,60.995,17.624,"A",16
84.872,61.11,17.813,"A",17
85.178,61.244,18.011,"A",18
85.473,61.397,18.217,"A",19
85.757,61.569,18.432,"A",20
86.029,61.761,18.655,"A",21
86.29,61.973,18.887,"A",22
86.54,62.203,19.128,"A",23
86.779,62.453,19.378,"A",24
87.007,62.723,19.636,"A",25
87.223,63.011,19.903,"A",26
87.428,63.312,20.173,"A",27
87.62,63.617,20.442,"A",28
87.799,63.926,20.71,"A",29
87.966,64.239,20.976,"A",30
88.121,64.556,21.241,"A",31
88.263,64.878,21.504,"A",32
88.393,65.204,21.766,"A",33
88.51,65.534,22.026,"A",34
88.615,65.869,22.285,"A",35
88.707,66.207,22.543,"A",36
88.787,66.55,22.799,"A",37
88.854,66.897,23.053,"A",38
88.909,67.249,23.307,"A",39
88.951,67.604,23.558,"A",40
88.981,67.964,23.809,"A",41
88.999,68.328,24.057,"A",42
89.003,68.696,24.305,"A",43
88.996,69.069,24.551,"A",44
88.976,69.446,24.795,"A",45
88.943,69.827,25.039,"A",46
88.909,70.198,25.266,"A",47
88.883,70.545,25.464,"A",48
88.865,70.868,25.632,"A",49
88.856,71.166,25.77,"A",50
88.855,71.441,25.878,"A",51
88.863,71.691,25.956,"A",52
88.879,71.917,26.005,"A",53
88.904,72.12,26.023,"A",54
88.937,72.298,26.012,"A",55
88.978,72.452,25.971,"A",56
89.028,72.581,25.901,"A",57
89.087,72.687,25.8,"A",58
89.153,72.769,25.67,"A",59
89.229,72.826,25.51,"A",60
89.313,72.859,25.32,"A",61
89.405,72.868,25.1,"A",62
89.505,72.853,24.85,"A",63
89.614,72.814,24.571,"A",64
89.732,72.751,24.262,"A",65
89.858,72.664,23.922,"A",66
89.981,72.56,23.569,"A",67
90.09,72.449,23.216,"A",68
90.185,72.33,22.863,"A",69
90.265,72.203,22.511,"A",70
90.332,72.068,22.16,"A",71
90.384,71.925,21.809,"A",72
90.422,71.775,21.459,"A",73
90.445,71.616,21.109,"A",74
90.455,71.45,20.76,"A",75
90.45,71.275,20.412,"A",76
90.431,71.093,20.064,"A",77
90.398,70.903,19.716,"A",78
90.351,70.705,19.37,"A",79
90.289,70.499,19.024,"A",80
90.213,70.285,18.678,"A",81
90.123,70.063,18.333,"A",82
90.019,69.834,17.989,"A",83
89.901,69.596,17.645,"A",84
89.768,69.351,17.302,"A",85
89.621,69.098,16.959,"A",86
89.482,68.844,16.622,"A",87
89.37,68.596,16.295,"A",88
89.287,68.354,15.978,"A",89
89.233,68.119,15.671,"A",90
89.206,67.891,15.375,"A",91
89.208,67.668,15.089,"A",92
89.239,67.452,14.813,"A",93
89.298,67.243,14.547,"A",94
89.385,67.04,14.291,"A",95
89.5,66.843,14.045,"A",96
89.644,66.652,13.81,"A",97
89.816,66.468,13.585,"A",98
90.017,66.29,13.37,"A",99
90.246,66.118,13.165,"A",100
90.503,65.953,12.97,"A",101
90.789,65.794,12.786,"A",102
91.103,65.641,12.611,"A",103
91.445,65.495,12.447,"A",104
91.816,65.355,12.293,"A",105
92.215,65.222,12.15,"A",106
92.625,65.101,12.021,"A",107
93.026,65.001,11.912,"A",108
93.42,64.922,11.822,"A",109
93.806,64.863,11.752,"A",110
94.185,64.824,11.701,"A",111
94.555,64.805,11.671,"A",112
94.918,64.806,11.659,"A",113
95.274,64.828,11.668,"A",114
95.621,64.871,11.696,"A",115
95.961,64.933,11.743,"A",116
96.293,65.016,11.81,"A",117
96.617,65.119,11.897,"A",118
96.934,65.243,12.003,"A",119
97.243,65.386,12.129,"A",120
97.544,65.55,12.275,"A",121
97.837,65.735,12.44,"A",122
98.123,65.939,12.625,"A",123
98.4,66.164,12.829,"A",124
98.671,66.41,13.053,"A",125
98.933,66.675,13.296,"A",126
99.188,66.955,13.542,"A",127
99.435,67.243,13.771,"A",128
99.674,67.539,13.985,"A",129
99.906,67.843,14.183,"A",130
100.129,68.156,14.365,"A",131
100.346,68.476,14.532,"A",132
100.554,68.805,14.682,"A",133
100.755,69.141,14.817,"A",134
100.949,69.486,14.936,"A",135
101.134,69.839,15.039,"A",136
101.312,70.2,15.127,"A",137
101.483,70.569,15.198,"A",138
101.645,70.946,15.254,"A",139
101.8,71.332,15.294,"A",140
101.947,71.725,15.318,"A",141
102.087,72.127,15.326,"A",142
102.219,72.537,15.319,"A",143
102.343,72.955,15.296,"A",144
102.46,73.381,15.256,"A",145
102.569,73.815,15.202,"A",146
102.678,74.25,15.146,"A",147
102.795,74.677,15.105,"A",148
102.92,75.097,15.078,"A",149
103.054,75.509,15.065,"A",150
103.196,75.914,15.067,"A",151
103.346,76.312,15.084,"A",152
103.504,76.702,15.114,"A",153
103.67,77.085,15.159,"A",154
103.844,77.461,15.219,"A",155
104.027,77.829,15.293,"A",156
104.217,78.19,15.381,"A",157
104.416,78.543,15.483,"A",158
104.623,78.89,15.6,"A",159
104.838,79.228,15.732,"A",160
105.062,79.56,15.877,"A",161
105.293,79.884,16.038,"A",162
105.532,80.2,16.212,"A",163
105.78,80.51,16.401,"A",164
106.036,80.812,16.604,"A",165
106.3,81.106,16.822,"A",166
106.56,81.396,17.051,"A",167
106.805,81.682,17.288,"A",168
107.035,81.965,17.534,"A",169
107.25,82.245,17.788,"A",170
107.449,82.522,18.05,"A",171
107.633,82.796,18.321,"A",172
107.801,83.066,18.6,"A",173
107.954,83.334,18.887,"A",174
108.092,83.598,19.182,"A",175
108.215,83.86,19.486,"A",176
108.322,84.118,19.799,"A",177
108.414,84.373,20.119,"A",178
108.49,84.625,20.448,"A",179
108.551,84.874,20.786,"A",180
108.597,85.12,21.131,"A",181
108.628,85.363,21.485,"A",182
108.643,85.602,21.848,"A",183
108.643,85.839,22.218,"A",184
108.628,86.072,22.597,"A",185
108.597,86.302,22.985,"A",186
108.562,86.523,23.355,"A",187
108.533,86.727,23.685,"A",188
108.511,86.915,23.973,"A",189
108.496,87.087,24.22,"A",190
108.486,87.243,24.425,"A",191
108.484,87.383,24.589,"A",192
108.487,87.506,24.712,"A",193
108.497,87.613,24.793,"A",194
108.514,87.704,24.833,"A",195
108.537,87.779,24.832,"A",196
108.567,87.838,24.789,"A",197
108.603,87.88,24.705,"A",198
108.646,87.906,24.58,"A",199
108.695,87.916,24.413,"A",200
108.75,87.91,24.205,"A",201
108.812,87.888,23.956,"A",202
108.881,87.849,23.665,"A",203
108.956,87.794,23.333,"A",204
109.037,87.723,22.959,"A",205
109.125,87.636,22.545,"A",206
109.216,87.552,22.114,"A",207
109.308,87.492,21.693,"A",208
109.399,87.455,21.281,"A",209
109.491,87.441,20.879,"A",210
109.583,87.45,20.486,"A",211
109.676,87.483,20.103,"A",212
109.768,87.54,19.729,"A",213
109.861,87.619,19.365,"A",214
109.954,87.722,19.011,"A",215
110.047,87.848,18.665,"A",216
110.14,87.998,18.33,"A",217
110.234,88.171,18.004,"A",218
110.328,88.367,17.687,"A",219
110.422,88.587,17.38,"A",220
