x,y,z,chr,coord
10.257,-6.316,-1.442,chr a,3000000
9.588,-7.048,-0.921,chr a,3100000
8.901,-6.946,-0.131,chr a,3200000
7.915,-6.626,-0.716,chr a,3300000
7.273,-6.131,-0.341,chr a,3400000
7.289,-5.502,0.694,chr a,3500000
7.485,-4.839,-0.234,chr a,3600000
7.796,-4.471,-0.816,chr a,3700000
8.329,-4.895,-1.543,chr a,3800000
9.057,-5.812,-2.301,chr a,3900000
8.375,-6.738,-1.799,chr a,4000000
7.835,-7.165,-1.01,chr a,4100000
8.712,-7.74,-0.097,chr a,4200000
9.477,-8.246,0.654,chr a,4300000
10.139,-9.009,1.431,chr a,4400000
10.092,-9.74,2.617,chr a,4500000
10.166,-10.418,2.415,chr a,4600000
10.388,-11.242,1.79,chr a,4700000
10.616,-11.139,0.565,chr a,4800000
10.716,-10.94,1.674,chr a,4900000
10.455,-10.509,0.544,chr a,5000000
11.415,-12.165,-0.678,chr a,5100000
11.97,-12.712,-1.422,chr a,5200000
12.038,-13.006,-2.456,chr a,5300000
12.727,-13.497,-1.904,chr a,5400000
12.137,-14.438,-1.612,chr a,5500000
11.262,-14.246,-1.527,chr a,5600000
10.877,-13.164,-1.586,chr a,5700000
10.153,-12.869,-0.744,chr a,5800000
9.086,-11.669,2.433,chr a,5900000
9.124,-10.979,3.499,chr a,6000000
8.616,-10.311,3.497,chr a,6100000
7.079,-8.327,4.871,chr a,6200000
6.483,-8.51,5.149,chr a,6300000
5.653,-8.422,4.266,chr a,6400000
4.984,-8.558,3.44,chr a,6500000
4.9,-9.507,3.867,chr a,6600000
5.519,-10.35,4.158,chr a,6700000
6.219,-10.406,3.237,chr a,6800000
5.362,-8.493,4.571,chr a,6900000
5.075,-7.725,5.836,chr a,7000000
5.097,-7.816,6.159,chr a,7100000
5.852,-6.978,5.706,chr a,7200000
5.321,-6.613,4.771,chr a,7300000
5.739,-5.879,4.127,chr a,7400000
5.24,-5.879,3.256,chr a,7500000
4.929,-6.883,3.526,chr a,7600000
3.978,-7.708,3.98,chr a,7700000
3.42,-7.763,3.971,chr a,7800000
2.808,-7.814,4.855,chr a,7900000
2.55,-8.082,5.34,chr a,8000000
2.022,-6.759,4.985,chr a,8100000
1.955,-6.667,4.453,chr a,8200000
2.836,-6.03,3.679,chr a,8300000
3.837,-5.868,4.331,chr a,8400000
3.698,-6.5,5.255,chr a,8500000
3.681,-6.75,6.328,chr a,8600000
3.615,-6.817,5.732,chr a,8700000
4.382,-5.789,5.888,chr a,8800000
5.001,-5.498,5.8,chr a,8900000
4.487,-4.855,5.112,chr a,9000000
3.423,-5.009,4.99,chr a,9100000
2.293,-5.304,5.312,chr a,9200000
2.037,-5.325,6.333,chr a,9300000
3.075,-5.925,6.905,chr a,9400000
4.376,-7.46,7.443,chr a,9500000
3.671,-7.106,7.575,chr a,9600000
4.297,-8.194,7.977,chr a,9700000
4.586,-8.229,8.744,chr a,9800000
3.958,-8.237,9.709,chr a,9900000
4.561,-9.351,9.307,chr a,10000000
3.964,-9.692,8.27,chr a,10100000
4.384,-9.565,7.067,chr a,10200000
4.778,-9.626,5.834,chr a,10300000
5.022,-9.726,5.639,chr a,10400000
4.122,-10.174,5.555,chr a,10500000
4.077,-10.967,5.36,chr a,10600000
4.65,-11.849,6.176,chr a,10700000
5.39,-12.295,7.321,chr a,10800000
5.774,-12.367,6.879,chr a,10900000
4.737,-13.323,6.706,chr a,11000000
4.829,-13.855,7.021,chr a,11100000
4.502,-13.617,7.721,chr a,11200000
3.821,-12.529,7.673,chr a,11300000
3.933,-12.499,7.816,chr a,11400000
4.119,-11.383,7.126,chr a,11500000
4.441,-11.416,5.74,chr a,11600000
4.025,-11.19,4.57,chr a,11700000
4.346,-11.722,3.771,chr a,11800000
3.619,-12.226,4.18,chr a,11900000
3.057,-11.96,4.995,chr a,12000000
2.574,-10.948,5.535,chr a,12100000
2.644,-11.621,4.672,chr a,12200000
2.103,-11.728,3.677,chr a,12300000
2.293,-12.835,4.262,chr a,12400000
1.933,-13.361,4.636,chr a,12500000
2.188,-13.489,4.753,chr a,12600000
3.843,-13.663,4.98,chr a,12700000
4.799,-12.93,4.673,chr a,12800000
5.153,-12.772,5.653,chr a,12900000
5.526,-12.355,6.842,chr a,13000000
4.404,-11.624,7.041,chr a,13100000
4.528,-12.853,5.951,chr a,13200000
4.867,-14.039,5.072,chr a,13300000
5.926,-14.279,4.468,chr a,13400000
6.571,-13.959,3.748,chr a,13500000
5.654,-13.985,3.365,chr a,13600000
4.647,-13.723,2.663,chr a,13700000
4.355,-14.693,2.288,chr a,13800000
3.981,-14.856,3.689,chr a,13900000
3.77,-13.866,3.415,chr a,14000000
4.165,-14.214,2.486,chr a,14100000
5.115,-15.003,3.27,chr a,14200000
5.69,-15.687,3.86,chr a,14300000
4.965,-15.662,4.753,chr a,14400000
5.501,-16.261,4.085,chr a,14500000
4.497,-16.564,4.079,chr a,14600000
4.527,-16.086,2.996,chr a,14700000
5.493,-15.627,2.256,chr a,14800000
6.497,-15.322,0.136,chr a,14900000
6.805,-14.893,-1.415,chr a,15000000
5.982,-14.72,-2.359,chr a,15100000
6.56,-14.857,-2.84,chr a,15200000
7.22,-14.402,-3.526,chr a,15300000
7.588,-14.143,-2.556,chr a,15400000
7.836,-15.067,-2.89,chr a,15500000
7.961,-15.492,-3.456,chr a,15600000
6.975,-16.577,-1.855,chr a,15700000
8.652,-19.061,-2.365,chr a,15800000
8.378,-19.113,-3.662,chr a,15900000
8.1,-18.718,-3.615,chr a,16000000
8.703,-18.626,-3.653,chr a,16100000
8.919,-17.627,-3.834,chr a,16200000
8.472,-16.926,-4.579,chr a,16300000
7.767,-16.912,-3.661,chr a,16400000
8.407,-16.873,-2.993,chr a,16500000
7.957,-16.947,-2.402,chr a,16600000
7.022,-17.202,-1.867,chr a,16700000
7.47,-16.195,-1.314,chr a,16800000
7.397,-15.814,-1.311,chr a,16900000
7.506,-16.381,-0.208,chr a,17000000
7.982,-17.617,0.395,chr a,17100000
8.748,-18.158,-0.018,chr a,17200000
8.446,-17.348,0.006,chr a,17300000
8.237,-17.521,-0.654,chr a,17400000
8.743,-17.087,-1.408,chr a,17500000
8.101,-16.138,-0.424,chr a,17600000
8.186,-14.843,0.145,chr a,17700000
8.654,-13.581,0.475,chr a,17800000
9.259,-13.099,1.291,chr a,17900000
9.752,-12.822,0.991,chr a,18000000
9.963,-11.99,0.281,chr a,18100000
10.477,-11.826,-0.66,chr a,18200000
9.405,-11.906,-2.077,chr a,18300000
8.708,-11.252,-2.63,chr a,18400000
7.685,-11.138,-3.015,chr a,18500000
7.552,-12.174,-3.359,chr a,18600000
8.575,-12.537,-3.178,chr a,18700000
9.416,-12.47,-3.881,chr a,18800000
10.195,-12.371,-3.179,chr a,18900000
10.628,-11.881,-2.401,chr a,19000000
10.064,-11.098,-1.441,chr a,19100000
10.709,-10.37,-1.23,chr a,19200000
10.146,-9.85,-2.119,chr a,19300000
9.566,-9.757,-3.008,chr a,19400000
9.696,-10.571,-3.526,chr a,19500000
10.687,-10.534,-3.004,chr a,19600000
11.629,-10.675,-1.929,chr a,19700000
12.632,-11.421,-1.781,chr a,19800000
13.376,-11.753,-2.46,chr a,19900000
12.764,-11.382,-3.235,chr a,20000000
11.818,-11.501,-3.528,chr a,20100000
12.52,-10.511,-3.555,chr a,20200000
12.349,-9.534,-3.528,chr a,20300000
12.307,-9.857,-2.284,chr a,20400000
12.694,-10.171,-1.808,chr a,20500000
12.637,-10.799,-0.957,chr a,20600000
12.567,-11.03,0.231,chr a,20700000
12.048,-11.297,0.742,chr a,20800000
11.531,-10.631,0.018,chr a,20900000
11.359,-9.602,0.125,chr a,21000000
11.331,-9.403,-1.021,chr a,21100000
11.107,-8.813,-1.042,chr a,21200000
10.134,-9.061,-0.505,chr a,21300000
9.49,-9.454,-0.493,chr a,21400000
8.512,-9.226,-1.37,chr a,21500000
8.573,-9.804,-1.33,chr a,21600000
9.189,-10.159,-0.637,chr a,21700000
9.303,-10.326,-0.321,chr a,21800000
8.525,-9.252,0.326,chr a,21900000
7.662,-8.446,1.135,chr a,22000000
6.922,-7.941,2.129,chr a,22100000
6.506,-7.292,3.248,chr a,22200000
7.585,-6.729,4.143,chr a,22300000
7.066,-7.101,4.096,chr a,22400000
6.189,-7.61,3.303,chr a,22500000
6.806,-7.601,2.276,chr a,22600000
6.921,-6.278,2.354,chr a,22700000
7.937,-6.251,2.336,chr a,22800000
8.585,-6.763,1.432,chr a,22900000
7.777,-7.073,0.907,chr a,23000000
8.651,-6.492,1.577,chr a,23100000
9.135,-7.249,2.087,chr a,23200000
8.447,-7.699,3.124,chr a,23300000
7.922,-7.724,2.76,chr a,23400000
8.918,-8.214,2.53,chr a,23500000
9.691,-8.155,2.196,chr a,23600000
10.342,-7.164,2.085,chr a,23700000
10.225,-6.248,2.666,chr a,23800000
9.196,-5.808,2.839,chr a,23900000
9.073,-6.376,3.75,chr a,24000000
10.069,-7.084,3.743,chr a,24100000
9.998,-7.923,3.078,chr a,24200000
10.207,-8.655,3.917,chr a,24300000
9.17,-8.89,4.236,chr a,24400000
8.72,-8.353,4.324,chr a,24500000
8.415,-9.005,3.974,chr a,24600000
7.276,-9.194,3.459,chr a,24700000
6.596,-9.527,3.212,chr a,24800000
6.747,-9.326,3.232,chr a,24900000
5.776,-9.357,2.445,chr a,25000000
5.826,-9.583,2.228,chr a,25100000
6.757,-9.745,1.716,chr a,25200000
7.131,-10.016,1.232,chr a,25300000
7.265,-10.481,2.052,chr a,25400000
7.971,-10.482,2.807,chr a,25500000
8.26,-9.44,2.654,chr a,25600000
8.296,-9.032,2.044,chr a,25700000
6.743,-8.647,0.248,chr a,25800000
6.763,-9.247,-0.513,chr a,25900000
5.94,-9.58,-1.131,chr a,26000000
5.121,-9.132,-0.702,chr a,26100000
4.702,-8.823,0.303,chr a,26200000
4.436,-8.26,1.49,chr a,26300000
5.413,-8.459,1.076,chr a,26400000
5.132,-7.987,1.717,chr a,26500000
4.964,-7.508,2.091,chr a,26600000
5.434,-6.577,1.591,chr a,26700000
6.226,-7.148,0.6,chr a,26800000
6.381,-6.945,0.818,chr a,26900000
5.21,-6.511,0.434,chr a,27000000
4.515,-7.144,0.042,chr a,27100000
4.202,-6.373,-0.985,chr a,27200000
5.046,-6.318,-1.588,chr a,27300000
5.675,-7.123,-1.349,chr a,27400000
6.422,-7.826,-1.183,chr a,27500000
6.354,-8.264,-2.274,chr a,27600000
5.25,-8.46,-2.541,chr a,27700000
4.658,-8.229,-1.555,chr a,27800000
3.841,-7.685,-0.946,chr a,27900000
3.226,-7.864,-0.441,chr a,28000000
2.711,-7.416,0.291,chr a,28100000
3.734,-6.782,0.524,chr a,28200000
4.292,-6.31,1.518,chr a,28300000
3.557,-5.911,2.377,chr a,28400000
2.792,-5.426,2.0,chr a,28500000
2.299,-6.338,1.781,chr a,28600000
3.052,-7.231,2.11,chr a,28700000
2.096,-7.301,2.627,chr a,28800000
1.271,-7.829,2.628,chr a,28900000
1.32,-8.788,2.064,chr a,29000000
1.969,-8.494,1.053,chr a,29100000
2.758,-9.061,1.055,chr a,29200000
3.139,-9.789,0.249,chr a,29300000
3.497,-10.863,0.804,chr a,29400000
4.205,-10.135,0.866,chr a,29500000
4.019,-10.04,1.886,chr a,29600000
3.595,-10.774,2.708,chr a,29700000
3.634,-10.446,3.847,chr a,29800000
3.572,-10.556,3.324,chr a,29900000
4.294,-10.563,2.674,chr a,30000000
3.843,-9.467,2.151,chr a,30100000
3.251,-8.853,2.598,chr a,30200000
2.969,-9.056,2.549,chr a,30300000
2.441,-9.312,3.609,chr a,30400000
1.285,-9.62,3.428,chr a,30500000
0.56,-12.791,4.134,chr a,30600000
-0.107,-13.832,3.955,chr a,30700000
-0.282,-14.35,3.428,chr a,30800000
-0.695,-13.654,2.549,chr a,30900000
